# Bảng ánh xạ SHA cũ → mới (viết lại lịch sử 21/8/2026)
#
# Vì sao viết lại: commit `1bf161b (init)` chứa harness/.openai_key = khoá OpenAI thật,
# và bốn gói zip nằm trong lịch sử, hai gói 105 MB > trần cứng 100 MB của GitHub
# (push sẽ bị từ chối, không phải cảnh báo).
#
# Số commit (97), thông điệp và mốc ngày GIỮ NGUYÊN — chỉ SHA đổi.
# Cột 1 = SHA cũ, cột 2 = SHA mới. Sinh bởi git-filter-repo.
#
old                                      new
6cb0ed3f0b1976b887eb21608d02049f0611a961 af99872b22c632d6fa719d32dd0cd9f1a8c58049
6f6facc968ddcccc5914205e0e4980e3e809c5b0 797c1835400c8a5938674590643f1090f15f4580
706756291b670b9f448dce53ac9b949390221607 cbcce93907294d342ca36dc81d30b8c58ac6d53a
74edd1a80ad93b0bb8556e306738880179674631 003d90a32a4f549446b1379258f17baef707e38b
77d6ed61f3a8dde4c4c450be8994636fd4a2f90d 68767e6733fa48f598f5fa25de2adefd44dbc70d
7855f651a73667cb5842de4e02ee739f57613c3a 9df3b27b396cb75ab06d0222c1756d0dae82941c
7a3290a88087cd81c1e40493338fe14f4a9529b8 be0ee209868e6b4871dece17495de99ab97989d5
7c86e4c7d1b20c791338c2fee04fda7b297b8948 a2c304483ef4063e2d783bfe3ed4b029d11c71fd
7e79d90c844ab39d735c59ec619ae698f9c2d060 5f37eef759ffe45fd469f7881a95890e5d6ca124
7faef81e299505cc1e9fc72d3859d92adfca978d 14943ec8300ed1097b9df7f1eb4c50111d58e66a
850899c08e3cb2084d25d462e8ddb1376cf1143e e5d740813784643d248a0f589618eb9fa216a176
86c0b398c441e9eca9483a79909a6f7df93d1966 ad66890b7b19b513f0f4445b2ed2cf20005a54bc
86dbc7db18c5e8178502d86ba0b0587bfe386d88 44318cdd7d6ccf9bf9ecf619435f9ba868c69fbe
86dca407a9193574e8362e67f266793c8568b755 c995e9e1130bb727d60b6ccb005f34d4a9de0fab
886c71d571fe38b51966d9aef0313d987376c608 cec99d00e5c945842c0e35ee8bede01679c250d0
8d2488269c3f1646cc015e551dc350359547a95a 0fae5174504df012966fa38928482fec3005bef8
8d7be467d8b1739d397d3344af41c991a46637d3 c21dafb5e2b85e2f3b0f1763abd9a7cfe35719c6
92cc2294c09a11ce9c8cf5385b830f2da6b8fb3d 3674db15852ed621ad23a6e211f87f47b56ffa65
93fd61188bbd1349b80b03de5ed77b86f7e298cb 3ed882c2cbbb760d8f9ad0d602b952a768d436b5
943987c3cac4726e5cd0ed099892848c403cca0a 723a7e479cbecb8720eab11c0004859e8cb95ac9
9442b4c9532b27606405257d3a181e9060caebed 05aefa07b016461a283f68d31ad331fdd7b7aa3d
94b8b078387976bc8d59b904640da840c55ead81 36d1463562ac3e3fa10310d1260956311cc017e5
987402f5e55f5644cde40f68e9bb02d9b0712009 3e24e57642daec268ccea4c0a8c5895c8f3433ff
9b4e153cf070bba9e2c87e54887fb2e1b0a53b20 759d24c6201e500f4d9a07ce112a12a862c51b5a
9e4e48ed11a93f2b03ef29233fa61756a0d65b80 a95605083251e980bab4d804c604a098f255bbd2
a58d684c7082db0f7d4ab5e29e09ad36a471ad90 a4cf59652575e633e543d797da1b7de91d3a9049
a70913cbcd6131697dd5ae6545f816d88c9c876e 266bcddf9553f6edfe12495d602379bf35ba593f
a7a417a842961a2fad31053fe750a4a7bef574ab a957184f3e4a0fc1e77d4b4761012d84e779dd96
a8681793370d15bc457cb15e392d1c157163fd4c e99f1981f24ada98d42a06d202c55972a7ded8ab
ae84d0f463c76f147790f1f4ef994e87d915523c 2505905678bbce0ae5050736d9ab5177f34b4094
b0d0fa41f1493ca0903c1d2e8c05291c7b6272d6 c7d53cdf0c84205ccb83641b91f73d27fd3abc9f
b5a6b297365f87b7dc30298637af18da493b6e57 bde47de1748bc30e3afb5f802a434237f700c242
bc3a8497437915c46bfde35931eaa35f5b183682 8fbcfbc779e4aa2870e51ccf532ef64b04ca7eb2
be1d3b63daa7192719a4ca513c5ec8a220996f2c c8409faf731dbe5faa2d37d18bb023056614c40b
bf36da28faf28e427f0371ecc71632a63c1d9459 8efcc8fccfbb115193b74eb609ecc4602710cdbd
c0a557ad4e12e795763e7fdcae418171c363f581 8fd4785b7c0728766a13dd615ffa34b561e7cd67
c7ba2b4d43a0b4e4d3bfc6cacd9c73df7462efee 62bf1c6a114a8e7100916112bbdaf589f9713f23
d064349a0bf5d37f10226e16558fc5a65961636a d95fd147380d15e286efac2e680af42901ad84b2
d5f99def58f277102cfd45c0fb0ded5ca07c09f2 7b922e1144e2dfbe05b222203c8ef47545e2aa50
d609188f549b6534ab7af0abc8acfaa727ad988e 136e86bb6e7a322796204134270a665c3d803e96
de3b0e423bf945a0686d37b9963b97036137aff8 5ec8a06b64a7fca6baf96eb336bde497275a2792
dffbbf640f294ed98e5400105d276e6e3646a08e 1906f1ce4048276c3a9eabd9c4cbea8335953fc9
e0ac8208f57734045eb02bee6e6695d57c5744d3 8f104883daaa9b8db44db68fdb4f39670355207a
e68020d262c391e10fa778aa06985cf04f9fe6c2 fecfebf08e3c311af466761e5ee617e519d65785
ea10602b41086f23e91ca1589b8b4490f8c92056 7ce5cfe617d54bebce76efdcc105fb0ebc3b7d7a
ee66a6bfed5c5794807a88b2513991b53f63163d 521e3463879af5fc7b0563b933235ffe16113cbb
ef26a80c71ac0b3fa68b2eac24f4e1de3b25cafb 4d73288bb4388170406453f7b661c76243a07756
f22ab29760026debf2c5138b28a5ab0ef69470e3 141186c322b7569a41854be3d06a953318f9daa6
f2cb84778d444ecc8dadad8f28248b26880156ed 49d9a2d66662152e9ac729fadfced970e99caf06
f370f6adffec16aa8634139d98b00330c8780e01 0f38347521685a13a31c941dcd15760300713c85
f900266d7c9da9f590428ef4f9fb62967dc72830 d29c78945716ea7a70c2738e27b5c531cfc3343c
